Сессия 1.
Основные таблицы
1. Patient (Пациенты)
Id;Surname;Name;Patronymic;Birthday;PassportSeries;PassportNumber;Gender;Address;Phone;Email;MedcardId;PolicyNumber;PolicyExpirationDate;InsuranceCompany;WorkPlace;Photo
1;Joseph;Zephr;Brennan;26.05.2023;6716;486932;F;P.O. Box 806, 9645 Molestie Av.;1-688-333-3845;vivamus.rhoncus.donec@protonmail.org;1001;4176256909145450;10.03.2024;Vitae Erat Corp.;Nam Consequat Industries;1.jpg
2;Woodard;Wendy;Kathleen;16.06.2000;1208;725761;F;Ap #578-3613 Purus. Ave;1-686-781-5281;elit@aol.net;1002;475159839881889;23.05.2023;Sed Pede LLP;Mattis Ornare Corp.;2.jpg
3;Miranda;Hanae;Vernon;31.05.2016;9671;512198;F;Ap #917-4658 Magna. Rd.;1-459-266-5376;ac.urna.ut@google.couk;1003;4757435350968080;08.02.2024;Scelerisque Dui Foundation;Neque Pellentesque Corp.;3.jpg
4;Decker;Uma;Orli;04.12.1968;6350;976100;F;P.O. Box 218, 8684 Suspendisse Rd.;1-586-356-8986;auctor.quis@icloud.ca;1004;8184785391001540;03.12.2024;Enim Mi Incorporated;Euismod Industries;4.jpg
5;Shaw;Brynn;Raja;03.10.2006;7837;350345;F;238-9932 Natoque Street;1-882-277-5092;pede.suspendisse.dui@aol.couk;1005;6707172911167840;07.06.2023;Sed Neque Sed Company;Consectetuer Adipiscing Associates;5.jpg
6;Stanley;Jenette;Lisandra;23.11.2017;7871;376487;F;Ap #893-5856 Risus St.;1-265-412-5870;id.risus@aol.com;1006;1839826778502810;23.05.2024;Sem Mollis Industries;Vitae Risus Duis Inc.;6.jpg
7;Boyd;Geraldine;Christian;31.12.2009;3536;659283;F;781-3934 Tristique Ave;1-925-226-9711;adipiscing@icloud.ca;1007;2418624765439240;31.07.2023;Ultricies Dignissim Institute;Nostra Corp.;7.jpg
8;Benson;Julie;Sylvia;25.11.2011;1727;626059;F;P.O. Box 154, 859 Gravida. St.;1-663-131-5774;nunc@protonmail.net;1008;9445251245327340;02.06.2023;Nulla Facilisis Suspendisse Corp.;Aenean Gravida Associates;8.jpg
9;Estrada;Kim;Aaron;20.03.1991;2170;574896;F;501-7532 Ornare. St.;1-823-256-4625;sollicitudin@yahoo.edu;1009;4270477300805370;18.04.2023;Maecenas Libero Est Associates;Dui Nec Associates;9.jpg
10;Ball;Dacey;Abbot;24.02.1979;8021;456909;F;Ap #758-9170 Dui Av.;1-864-545-9746;ac.turpis@protonmail.org;1010;3939756474627640;07.01.2024;Ut Pharetra Ltd;Erat Volutpat PC;10.jpg
11;Branch;Lois;Melinda;16.10.1979;4666;978450;F;6086 Nec Avenue;1-897-711-6571;turpis.aliquam@icloud.net;1011;618295665910200;22.04.2023;Dis Industries;Ac PC;11.jpg
12;Gonzalez;Zelda;Yuri;12.06.2003;1777;864284;F;3269 Sollicitudin Road;1-412-638-8563;aliquet.magna@outlook.net;1012;4838823227477620;22.05.2024;Ut Cursus Inc.;Nunc Ut Erat Foundation;12.jpg
13;Klein;Pearl;Tarik;19.08.2003;1705;317839;F;257-869 Mattis. Road;1-615-347-0698;et@hotmail.net;1013;6157297183277170;12.09.2024;Risus Donec Incorporated;Mauris Sagittis Placerat Institute;13.jpg
14;Stone;Chantale;Kane;15.10.1958;7182;242143;F;P.O. Box 498, 8503 Convallis Rd.;1-583-156-5131;tincidunt@hotmail.com;1014;3287678512438480;11.03.2024;A Malesuada Incorporated;Mi Lacinia Mattis Inc.;14.jpg
15;Burgess;Ivy;Evangeline;19.03.1997;9458;700189;F;407-8548 Ullamcorper, Avenue;1-502-817-4684;ut.cursus@hotmail.net;1015;2149709021846860;06.11.2024;Convallis Inc.;Ullamcorper Viverra Maecenas Corp.;15.jpg
