Id;TimeBegin;TimeEnd;Patient;Status;TimeSheetId;CouponNumber
1;8:00:00;8:30:00;;0;1;1
2;8:30:00;9:00:00;;0;1;2
3;9:00:00;9:30:00;;0;1;3
4;9:30:00;10:00:00;;0;1;4
5;10:00:00;10:30:00;;0;1;5
6;10:30:00;11:00:00;;0;1;6
7;11:00:00;11:30:00;;0;1;7
8;11:30:00;12:00:00;;0;1;8
9;12:00:00;12:30:00;;0;1;9
10;12:30:00;13:00:00;;0;1;10
11;13:00:00;13:30:00;;0;1;11
12;13:30:00;14:00:00;;0;1;12
13;14:00:00;14:30:00;;0;1;13
14;14:30:00;15:00:00;;0;1;14
15;15:00:00;15:30:00;;0;1;15
16;8:00:00;8:30:00;;0;2;1
17;8:30:00;9:00:00;;0;2;2
18;9:00:00;9:30:00;;0;2;3
19;9:30:00;10:00:00;;0;2;4
20;10:00:00;10:30:00;;0;2;5
21;10:30:00;11:00:00;;0;2;6
22;11:00:00;11:30:00;;0;2;7
23;11:30:00;12:00:00;;0;2;8
24;12:00:00;12:30:00;;0;2;9
25;12:30:00;13:00:00;;0;2;10
26;13:00:00;13:30:00;;0;2;11
27;13:30:00;14:00:00;;0;2;12
28;14:00:00;14:30:00;;0;2;13
29;14:30:00;15:00:00;;0;2;14
30;15:00:00;15:30:00;;0;2;15
31;8:00:00;8:30:00;;0;3;1
32;8:30:00;9:00:00;;0;3;2
33;9:00:00;9:30:00;;0;3;3
34;9:30:00;10:00:00;;0;3;4
35;10:00:00;10:30:00;;0;3;5
36;10:30:00;11:00:00;;0;3;6
37;11:00:00;11:30:00;;0;3;7
38;11:30:00;12:00:00;;0;3;8
39;12:00:00;12:30:00;;0;3;9
40;12:30:00;13:00:00;;0;3;10
41;13:00:00;13:30:00;;0;3;11
42;13:30:00;14:00:00;;0;3;12
43;14:00:00;14:30:00;;0;3;13
44;14:30:00;15:00:00;;0;3;14
45;15:00:00;15:30:00;;0;3;15
46;13:00:00;13:30:00;;0;4;1
47;13:30:00;14:00:00;;0;4;2
48;14:00:00;14:30:00;;0;4;3
49;14:30:00;15:00:00;;0;4;4
50;15:00:00;15:30:00;;0;4;5
51;15:30:00;16:00:00;;0;4;6
52;16:00:00;16:30:00;;0;4;7
53;16:30:00;17:00:00;;0;4;8
54;17:00:00;17:30:00;;0;4;9
55;17:30:00;18:00:00;;0;4;10
56;8:00:00;8:30:00;;0;5;1
57;8:30:00;9:00:00;;0;5;2
58;9:00:00;9:30:00;;0;5;3
59;9:30:00;10:00:00;;0;5;4
60;10:00:00;10:30:00;;0;5;5
61;10:30:00;11:00:00;;0;5;6
62;11:00:00;11:30:00;;0;5;7
63;11:30:00;12:00:00;;0;5;8
64;12:00:00;12:30:00;;0;5;9
65;12:30:00;13:00:00;;0;5;10
66;13:00:00;13:30:00;;0;5;11
67;13:30:00;14:00:00;;0;5;12
68;14:00:00;14:30:00;;0;5;13
69;14:30:00;15:00:00;;0;5;14
70;15:00:00;15:30:00;;0;5;15
71;8:00:00;8:30:00;;0;6;1
72;8:30:00;9:00:00;;0;6;2
73;9:00:00;9:30:00;;0;6;3
74;9:30:00;10:00:00;;0;6;4
